iter	Passed	Remaining
420	2321	3193
421	2326	3187
422	2331	3180
423	2336	3174
424	2341	3168
425	2346	3162
426	2352	3156
427	2357	3150
428	2362	3144
429	2367	3138
430	2372	3132
431	2378	3126
432	2383	3120
433	2388	3114
434	2393	3108
435	2398	3102
436	2403	3096
437	2408	3090
438	2413	3084
439	2418	3078
440	2424	3072
441	2428	3066
442	2433	3059
443	2438	3054
444	2443	3047
445	2449	3042
446	2454	3036
447	2460	3031
448	2465	3025
449	2469	3018
450	2474	3012
451	2479	3006
452	2484	3000
453	2490	2994
454	2495	2988
455	2500	2983
456	2505	2977
457	2511	2971
458	2516	2966
459	2522	2961
460	2529	2957
461	2534	2951
462	2540	2946
463	2545	2940
464	2550	2934
465	2555	2928
466	2560	2922
467	2565	2916
468	2570	2910
469	2575	2904
470	2581	2898
471	2586	2893
472	2591	2887
473	2597	2881
474	2602	2876
475	2607	2870
476	2612	2864
477	2617	2858
478	2622	2852
479	2628	2847
480	2633	2841
481	2638	2835
482	2643	2830
483	2648	2823
484	2653	2817
485	2659	2812
486	2664	2806
487	2669	2800
488	2674	2794
489	2679	2788
490	2685	2783
491	2690	2777
492	2695	2772
493	2700	2766
494	2706	2760
495	2711	2754
496	2716	2749
497	2721	2743
498	2726	2737
499	2731	2731
500	2736	2725
501	2741	2719
502	2746	2714
503	2751	2708
504	2757	2702
505	2762	2696
506	2768	2691
507	2774	2686
508	2779	2681
509	2786	2676
510	2792	2672
511	2798	2667
512	2804	2662
513	2809	2656
514	2815	2651
515	2821	2646
516	2827	2641
517	2832	2636
518	2838	2630
519	2842	2623
520	2847	2618
521	2853	2612
522	2858	2607
523	2863	2601
524	2868	2595
525	2873	2589
526	2878	2583
527	2883	2577
528	2889	2572
529	2894	2566
530	2899	2560
531	2904	2555
532	2909	2549
533	2914	2543
534	2920	2538
535	2925	2532
536	2930	2526
537	2935	2521
538	2940	2515
539	2946	2509
540	2951	2503
541	2956	2498
542	2962	2492
543	2967	2487
544	2973	2482
545	2979	2477
546	2985	2472
547	2990	2466
548	2996	2461
549	3001	2455
550	3007	2450
551	3012	2444
552	3017	2439
553	3023	2434
554	3028	2428
555	3033	2422
556	3038	2416
557	3043	2411
558	3048	2405
559	3054	2399
560	3060	2394
561	3065	2388
562	3070	2383
563	3075	2377
564	3080	2371
565	3085	2366
566	3090	2360
567	3096	2354
568	3101	2349
569	3106	2343
570	3111	2337
571	3116	2332
572	3122	2326
573	3127	2321
574	3133	2315
575	3139	2310
576	3145	2305
577	3150	2300
578	3156	2295
579	3161	2289
580	3167	2284
581	3172	2278
582	3177	2272
583	3183	2267
584	3188	2261
585	3193	2256
586	3198	2250
587	3204	2245
588	3209	2239
589	3215	2234
590	3220	2228
591	3226	2223
592	3231	2218
593	3237	2212
594	3242	2207
595	3247	2201
596	3253	2196
597	3258	2190
598	3263	2184
599	3268	2179
600	3274	2173
601	3279	2168
602	3284	2162
603	3289	2156
604	3295	2151
605	3300	2145
606	3305	2140
607	3310	2134
608	3315	2128
609	3320	2123
610	3325	2117
611	3330	2111
612	3336	2106
613	3340	2100
614	3346	2094
615	3350	2088
616	3356	2083
617	3361	2077
618	3366	2071
619	3371	2066
620	3376	2060
621	3382	2055
622	3387	2049
623	3392	2044
624	3397	2038
625	3402	2033
626	3408	2027
627	3412	2021
628	3418	2016
629	3424	2011
630	3430	2005
631	3435	2000
632	3441	1995
633	3446	1989
634	3451	1983
635	3456	1978
636	3461	1972
637	3466	1967
638	3471	1961
639	3477	1955
640	3482	1950
641	3487	1944
642	3492	1939
643	3497	1933
644	3503	1928
645	3508	1922
646	3513	1916
647	3518	1911
648	3523	1905
649	3529	1900
650	3534	1894
651	3539	1889
652	3544	1883
653	3549	1877
654	3554	1872
655	3559	1866
656	3564	1861
657	3570	1855
658	3575	1850
659	3580	1844
660	3586	1839
661	3591	1833
662	3596	1828
663	3602	1822
664	3607	1817
665	3612	1811
666	3617	1806
667	3623	1800
668	3628	1795
669	3633	1789
670	3638	1784
671	3643	1778
672	3648	1772
673	3653	1767
674	3659	1761
675	3664	1756
676	3669	1750
677	3674	1745
678	3679	1739
679	3684	1734
680	3689	1728
681	3694	1722
682	3700	1717
683	3705	1711
684	3710	1706
685	3716	1700
686	3721	1695
687	3725	1689
688	3730	1684
689	3736	1678
690	3741	1673
691	3746	1667
692	3751	1661
693	3756	1656
694	3761	1650
695	3766	1645
696	3771	1639
697	3777	1634
698	3782	1628
699	3788	1623
700	3794	1618
