iter	Logloss
0	0.6864269803
1	0.6804016278
2	0.6748858878
3	0.6696394304
4	0.6649123056
5	0.6605268465
6	0.6565124106
7	0.6528891648
8	0.6495273439
9	0.6463094285
10	0.6434198105
11	0.640863072
12	0.6386960253
13	0.6365016874
14	0.6345054435
15	0.6326892519
16	0.6309396703
17	0.6294392686
18	0.6278015589
19	0.6264002004
20	0.6250056712
21	0.6237707365
22	0.6226512528
23	0.6216999826
24	0.6207347208
25	0.6198508982
26	0.6190413465
27	0.6182799825
28	0.6174132639
29	0.6165692257
30	0.6158424559
31	0.6152241323
32	0.6149009091
33	0.6143310831
34	0.6138265841
35	0.6133162176
36	0.6128016129
37	0.6123540487
38	0.6118463941
39	0.6113329127
40	0.610916599
41	0.6105076029
42	0.6101335014
43	0.609738753
44	0.6093659241
45	0.6090455245
46	0.6087141297
47	0.6083851296
48	0.6080978874
49	0.6079118684
50	0.607572976
51	0.6073032081
52	0.6070252531
53	0.6067437392
54	0.6064135794
55	0.6061893626
56	0.6059520064
57	0.6057099418
58	0.605496328
59	0.6053495231
60	0.6051462571
61	0.6049414518
62	0.6047380107
63	0.6046503127
64	0.6045035815
65	0.6043358603
66	0.6041462659
67	0.6039732324
68	0.6038423663
69	0.6036919401
70	0.6035046523
71	0.6033255304
72	0.6032854315
73	0.6031303326
74	0.6029249131
75	0.6027824547
76	0.6025929029
77	0.6024840556
78	0.6023162487
79	0.6021937244
80	0.6020231104
81	0.601933939
82	0.6018241119
83	0.6016753675
84	0.6014880216
85	0.6013428549
86	0.601225129
87	0.6011212141
88	0.6009916907
89	0.6008971738
90	0.6007346453
91	0.6006230875
92	0.6005446047
93	0.6004406977
94	0.6003396873
95	0.6002029489
96	0.600118574
97	0.6000057321
98	0.5999038131
99	0.5997800847
100	0.5997009939
101	0.5995624255
102	0.5994798679
103	0.5994108735
104	0.5992848919
105	0.5991956484
106	0.5990950137
107	0.5990343751
108	0.5989081407
109	0.5987699998
110	0.5986549201
111	0.5985493718
112	0.5985405971
113	0.598418801
114	0.5983461167
115	0.5982542784
116	0.5981056908
117	0.5980293325
118	0.597923417
119	0.5978619136
120	0.5977937004
121	0.5977030676
122	0.5975733382
123	0.5974666305
124	0.5973881091
125	0.5972825839
126	0.5971790466
127	0.5970878755
128	0.5969921981
129	0.5969186494
130	0.5968409503
131	0.5967444099
132	0.5966682922
133	0.596554311
134	0.5965051071
135	0.5963889127
136	0.5963367818
137	0.5962483156
138	0.5961539949
139	0.5960607687
140	0.595964294
141	0.5958866888
142	0.5957979734
143	0.5957322352
144	0.595661882
145	0.5956081044
146	0.5955325439
147	0.5954813252
148	0.5954202841
149	0.595413581
150	0.5953405668
151	0.5952223614
152	0.5951765478
153	0.5950963661
154	0.595022227
155	0.5949423968
156	0.5948463616
157	0.5947514158
158	0.5946956657
159	0.5945883251
160	0.5945057141
161	0.594454958
162	0.594358205
163	0.5942812087
164	0.5942350194
165	0.5941327498
166	0.5940496345
167	0.5939665374
168	0.5938914592
169	0.5938157057
170	0.5937782994
171	0.5936881548
172	0.5936111174
173	0.5935636373
174	0.5934790391
175	0.5934395688
176	0.5933543907
177	0.5933208443
178	0.5932409171
179	0.5931587788
180	0.5931005868
181	0.5930018449
182	0.5929753362
183	0.5929350859
184	0.5928446257
185	0.5927906996
186	0.5927319158
187	0.5926971935
188	0.592588569
189	0.5925282789
190	0.5924388278
191	0.5923775935
192	0.5922929454
193	0.5922525504
194	0.5921964767
195	0.592165847
196	0.592100936
197	0.5920016484
198	0.5919065393
199	0.5918407501
200	0.5917999601
201	0.5917384788
202	0.5916627634
203	0.5915758647
204	0.5914880148
205	0.5914458075
206	0.5913955124
207	0.5913224585
208	0.5912485619
209	0.5911862059
210	0.5911019588
211	0.5910214401
212	0.590947341
213	0.5908893789
214	0.5908600939
215	0.5907783958
216	0.590737446
217	0.590641497
218	0.5905736987
219	0.5905370576
220	0.5904774834
221	0.5904280811
222	0.5903426155
223	0.5902721766
224	0.5902199624
225	0.5901860726
226	0.5901117047
227	0.5900319188
228	0.5899482283
229	0.5898438558
230	0.5897526254
231	0.5896737194
232	0.589631029
233	0.5895698473
234	0.589468468
235	0.5894311839
236	0.5893895846
237	0.5893094209
238	0.5892306211
239	0.5891646224
240	0.5891350144
241	0.5890440744
242	0.5889336567
243	0.5888762917
244	0.5888378803
245	0.5888063067
246	0.5887267237
247	0.5886488288
248	0.5886139764
249	0.5885702345
